directory,file_name,variable_name,variable_type,description
data,mwfertiliserpilot.rda,ratio_fertilizer_mix_t2_urea,double,What's the NPK to urea ratio for the second application? Enter the number for urea:
data,mwfertiliserpilot.rda,timing_basal_fertilizer,character,When do you apply NPK (basal fertilizer)?
data,mwfertiliserpilot.rda,timing_basal_fertilizer_other,logical,Please specify.
data,mwfertiliserpilot.rda,place_basal_fertilizer,character,Where do you apply NPK (basal fertilizer)?
data,mwfertiliserpilot.rda,place_basal_fertilizer_other,logical,Please specify.
data,mwfertiliserpilot.rda,timing_topdressing,character,When do you apply urea (topdressing fertilizers)?
data,mwfertiliserpilot.rda,timing_topdressing_other,character,Please specify.
data,mwfertiliserpilot.rda,place_topdressing,character,Where do you apply urea (topdressing fertilizers)?
data,mwfertiliserpilot.rda,place_topdressing_other,logical,Please specify.
data,mwfertiliserpilot.rda,basal_fertilizer_grams,double,NA
data,mwfertiliserpilot.rda,topdressing_fertilizer_grams,double,NA
data,mwfertiliserpilot.rda,know_recommended_tools,character,Do you know the recommended cups (cups #5 or #8) for maize?
data,mwfertiliserpilot.rda,reason_no_use_scoop,character,Why are you not using them?
data,mwfertiliserpilot.rda,reason_no_use_scoop_other,character,Please elaborate.
data,mwfertiliserpilot.rda,would_use_scoop_if_given,character,Would you use the fertilizer scoops if they were given to you?
data,mwfertiliserpilot.rda,would_use_scoop_if_available,character,Would you buy the fertilizer scoops if available?
data,mwfertiliserpilot.rda,wtp_scoop,double,How much would you be willing to pay for the fertilizer scoops?
data,mwfertiliserpilot.rda,selling_points_scoop,character,Do you know where the scoops are sold?
data,mwfertiliserpilot.rda,selling_points_scoop_location,character,Can you state where?
data,mwfertiliserpilot.rda,know_price_scoop,character,Do you know how much it costs in the shop?
data,mwfertiliserpilot.rda,price_scoop,logical,How much?
data,mwfertiliserpilot.rda,type_seed,character,What type of seed do you use?
data,mwfertiliserpilot.rda,n_seeds,character,How many seeds do you plant per planting station?
data,mwfertiliserpilot.rda,planting_distance,double,Measure how far the planting stations are away from each other.
data,mwfertiliserpilot.rda,ridges_distance,double,Measure how far the ridges are away from each other.
data,mwfertiliserpilot.rda,several_plants_emerging,character,"If multiple plants emerge from the same planting station, select ""Yes""."
data,mwfertiliserpilot.rda,intercropping,character,Do you practice intercropping?
data,mwfertiliserpilot.rda,intercrop_type,character,What do you intercrop with?
